I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
How about Cambridge Artworks ? It's a museum on the east side of town , and they have no entrance fee . ||| Kif dwar Cambridge Artworks ? Huwa mużew fuq in naħa tal lvant tal belt , u m'għandhom l ebda ħlas tad dħul .
That sounds great . What's their address and postcode ? ||| Dan ħsejjes kbir . X'inhu l indirizz u l kodiċi postali tagħhom ?
Their located at 5 greens road and postcode cb13ef . ||| Tagħhom jinsabu f'5 greens road u kodiċi postali cb13ef .
Thank you . Can you book a train for me ? I'm leaving on Monday and I would like something that arrives by 12:15 . ||| Grazzi . Tista' tibbukkja ferrovija għalija ? Jien nitlaq nhar it Tnejn u nixtieq xi ħaġa li tasal sa 12:15 .
Could you tell me where you are leaving from and want to arrive at ? Thank you . ||| Tista' tgħidli minn fejn qed titlaq u trid tasal ? Grazzi .
I'm leaving from kings lynn and going to cambridge . ||| Jien nitlaq minn Kings Lynn u mmur Cambridge .
I'm sorry there are no trains matching that description . Would you like me to search for something else ? ||| Jiddispjaċini m'hemm l ebda ferroviji li jaqblu ma' dik id deskrizzjoni . Tixtieq li nfittex xi ħaġa oħra ?
Can you check again please for anything arriving before 12:15 ||| Tista' terġa' tiċċekkja jekk jogħġbok għal xi ħaġa li tasal qabel 12:15
Train TR0942 Leaves Kings Lynn at 09:11 and arrives in Cambridge at 9:58 . Would you like me to book this train ? ||| Il ferrovija TR0942 tħalli Kings Lynn fid 09:11 u tasal Cambridge fid 9:58 . Tixtieq li nibbukkja din il ferrovija ?
Yes please , thank you . ||| Iva jekk jogħġbok , grazzi .
Your booking was successful . The reference number is FKL4ZCP9 . Is there anything I can help you with today ? ||| Il prenotazzjoni tiegħek kienet ta' suċċess . In numru ta' referenza huwa FKL4ZCP9 . Hemm xi ħaġa li nista' ngħinek biha llum ?
Yes , how much is that train ride going to cost me , in both time and money ? ||| Iva , kemm se tiswieli dik ir rikba tal ferrovija , kemm fil ħin kif ukoll fil flus ?
It will take 47 minutes and cost 9 . 8 GBP ||| Se tieħu 47 minuta u tiswa 9 . 8 GBP
Ok , thank you very much . That is everything I need . ||| Ok , grazzi ħafna . Dak huwa dak kollu li għandi bżonn .
I'm glad to hear that , please enjoy your trip . ||| Jien kuntent li nisma' dan , jekk jogħġbok gawdi l vjaġġ tiegħek .
Could you help me with planning my trip ? I need a train . ||| Tista' tgħinni fl ippjanar tal vjaġġ tiegħi ? Għandi bżonn ferrovija .
I can absolutely help you . Can you tell me your departure and arrival stations ? ||| Jien nista' assolutament ngħinek . Tista' tgħidli l istazzjonijiet tat tluq u tal wasla tiegħek ?
Yes , on Sunday I'll be departing from Cambridge and going to Stevenage . I'd like to leave after 17:00 . ||| Iva , il Ħadd ser nitlaq minn Cambridge u mmur Stevenage . Nixtieq nitlaq wara s 17:00 .
Train TR7729 would probably fit your needs . It leaves at 17:21 . ||| Il ferrovija TR7729 probabbilment taqbel mal bżonnijiet tiegħek . Titlaq fis 17:21 .
Can I book the train for 4 people please ? And can AI get a reference number ? ||| Nista' nibbukkja l ferrovija għal 4 persuni jekk jogħġbok ? U tista 'l AI tikseb numru ta' referenza ?
Okay . Your reference number is 2OJ4IDVL . Is there anything else I can help you with ? ||| Okay . In numru ta' referenza tiegħek huwa 2OJ4IDVL . Hemm xi ħaġa oħra li nista' ngħinek biha ?
Yes , I'm look for a places to go while I'm in town . Could you find me an attraction in the east part of town ? ||| Iva , qed infittex postijiet fejn immur waqt li nkun fil belt . Tista' ssibni attrazzjoni fil parti tal lvant tal belt ?
There are ten attractions in the east . Do you have a type of attraction you want to see ? ||| Hemm għaxar attrazzjonijiet fil Lvant . Għandek tip ta' attrazzjoni li trid tara ?
Can you make a suggestion ? ||| Tista' tagħmel suġġeriment ?
Sure the funky fun house is entertainment in the east . ||| Żgur li d dar funky funky hija divertiment fil Lvant .
That sounds perfect . What is the phone number ? And is there an entrance fee ? ||| Li tinstema perfetta . X'inhu n numru tat telefon ? U hemm ħlas tad dħul ?
The phone number is 01223304705 . Unfortunately I don't have any information about the fee . Can I help you with anything else ? ||| In numru tat telefon huwa 01223304705 . Sfortunatament m'għandi l ebda informazzjoni dwar il ħlas . Nista ngħinek b xi ħaġa oħra ?
No thanks . That would be all I needed . Thanks . Bye . ||| Le grazzi . Dak ikun kulma kelli bżonn . Grazzi . Bye .
Goodbye , I hope you enjoy your trip ! ||| Goodbye , nispera li tgawdi l vjaġġ tiegħek !
Hi there , I'm looking for a museum to go to that's in the centre of the city . ||| Hi there , Qed infittex mużew biex immur dak li jinsab fiċ ċentru tal belt .
We have 11 museums in the centre . The museum of archaelogy and anthropology is very popular . Would you like to go there ? ||| Għandna 11 il mużew fiċ ċentru . Il mużew tal arkeoloġija u l antropoloġija huwa popolari ħafna . Tixtieq tmur hemm ?
What is the entrance fee for the Museum of Archaeology and Anthropology ? ||| X'inhu l miżata tad dħul għall Mużew tal Arkeoloġija u l Antropoloġija ?
It has a free entrance fee . ||| Għandu miżata tad dħul b'xejn .
Can you please provide the address and postcode ? ||| Tista' jekk jogħġbok ipprovdi l indirizz u l kodiċi postali ?
Yes , I can . The address is university of cambridge , downing street , postcode cb23dz . ||| Iva , nista . L indirizz huwa l università ta 'Cambridge , downing street , kodiċi postali cb23dz .
Thank you . I also looking for train that departs from cambridge and arrive by 21:00 . ||| Grazzi . Infittex ukoll ferrovija li titlaq minn Cambridge u tasal sal 21:00 .
Could you provide your destination in order that I might better help you ? ||| Tista' tipprovdi d destinazzjoni tiegħek sabiex ngħinek aħjar ?
There are two of us , and we'd like to go to norwich please . ||| Hemm tnejn minna , u nixtiequ mmorru Norwich jekk jogħġbok .
What day would you and your companion be traveling ? ||| Int u sieħeb tiegħek liema jum tkunu jivvjaġġaw ?
We will be traveling on Thursday . ||| Se nivvjaġġaw nhar il Ħamis .
Great ! I have the TR1006 departing at 5:36 and arriving by 6:55 or if you would like a later time the TR5892 departs at 19:36 and arrives by 20:55 . ||| Kbir ! Għandi t TR1006 jitlaq fil 5:36 u jasal sa 6:55 jew jekk tixtieq ħin aktar tard it TR5892 jitlaq fis 19:36 u jasal sa 20:55 .
The TR5892 would be great . Could I book two tickets for that train please ? ||| It TR5892 ikun kbir . Nista nibbukkja żewġ biljetti għal dik il ferrovija jekk jogħġbok ?
I successfully booked two tickets on TR5892 at a cost of 35 . 2 GBP . Your reference number is GA09OC54 . ||| Bbukkejt b'suċċess żewġ biljetti fuq TR5892 bi spiża ta' 35 . 2 GBP . In numru ta' referenza tiegħek huwa GA09OC54 .
You have been so helpful . Thank you . I have no other requests . Good bye . ||| Kont tant utli . Grazzi . M'għandi l ebda talbiet oħra . Good bye .
Thank you for choosing Cambridge Help Desk . Have a lovely trip . ||| Grazzi talli għażilt Cambridge Help Desk . Ikollok vjaġġ sabiħ .
I need a train from Peterborough to Cambridge . ||| Għandi bżonn ferrovija minn Peterborough għal Cambridge .
One what day and what time ? ||| Wieħed liema jum u liema ħin ?
I'd like to leave on Tuesday after 10:15 . ||| Nixtieq nitlaq it Tlieta wara l 10:15 .
I can get you on a train at 10:19 or 10:48 . Would you like tickets ? ||| Nista' nġibek fuq ferrovija fl 10:19 jew fl 10:48 . Tixtieq biljetti ?
Yes . I need 4 tickets . ||| Iva . Għandi bżonn 4 biljetti .
Okay , I have booked 4 tickets on TR 5547 , leaving from Peterborough at 10:19 and arriving in Cambridge at 11:09 . Your reference number is IT0CF4V7 . Total fee is 66 . ||| Tajjeb , ibbukkejt 4 biljetti fuq TR 5547 , nitlaq minn Peterborough fl 10:19 u nasal Cambridge fil 11:09 . In numru ta' referenza tiegħek huwa IT0CF4V7 . Il ħlas totali huwa 66 .
Great I also am looking to find an attraction in the centre of town . ||| Kbir Qed infittex ukoll li nsib attrazzjoni fiċ ċentru tal belt .
There are 44 attractions in City Centre . Is there a particular type you want to visit ? ||| Hemm 44 attrazzjoni fiċ Ċentru tal Belt . Hemm tip partikolari li trid iżżur ?
Do you have any swimming pools ? ||| Għandek xi pixxini ?
Yes , its called parkside pools , located at gonville place . ||| Iva , il pools tagħha msejħa parkside , li jinsabu fil post ta 'gonville .
How much does it cost to get in ? ||| Kemm tiswa biex tidħol ?
I'm sorry , our system seems to be missing that information . Is there anything else you need help with today ? ||| Jiddispjaċini , is sistema tagħna tidher li hija nieqsa minn dik l informazzjoni . Hemm xi ħaġa oħra li għandek bżonn għajnuna biha llum ?
What is the phone number for Parkside Pools ? I'll just call them to get the entrance fee myself . ||| X'inhu n numru tat telefon għal Parkside Pools ? Se nċempelhom biss biex nikseb il miżata tad dħul jien stess .
The phone number is 01223446100 . is there anything else I can help you with ? ||| In numru tat telefon huwa 01223446100 . hemm xi ħaġa oħra li nista' ngħinek biha ?
What is the entrance fee to the Parkside Pool ? ||| X'inhu l miżata tad dħul għall Parkside Pool ?
I'm afraid I don't have the information about the entrance fee to Parkside pool , sorry about that . Is there anything else I can help you with ? ||| Nibża li m'għandix l informazzjoni dwar il ħlas tad dħul għal Parkside pool , skużani għal dan . Hemm xi ħaġa oħra li nista' ngħinek biha ?
Are there any attractions in the centre that do list the entrance fee along with the phone number ? It doesn't have to be a swimming pool . ||| Hemm xi attrazzjonijiet fiċ ċentru li jelenkaw il miżata tad dħul flimkien man numru tat telefon ? M'għandux għalfejn ikun pixxina .
I'm sorry my system doesn't show prices . ||| Jiddispjaċini li s sistema tiegħi ma turix il prezzijiet .
That's all that I needed then today , thank you ! ||| Dak kollu li kelli bżonn dakinhar illum , grazzi !
You're welcome . Have a great day ! ||| Ta 'xejn . Il ġurnata t tajba !
need a train from cambridge to stansted airport ||| bżonn ferrovija minn Cambridge għall ajruport ta 'Stansted
OK , what day are you looking at traveling on ? ||| OK , liema jum qed tħares lejn tivvjaġġa ?
Im leaving thursday and need to leave after 1pm . ||| Jien nitlaq il Ħamis u għandi nitlaq wara s 1pm .
I have a train leaving at 13:40 on Thursday that arrives at Stansted Airport at 14:08 for 10 . 10 pounds . Would you like to book this option ? ||| Għandi ferrovija li titlaq fil 13:40 nhar il Ħamis li tasal fl Ajruport ta 'Stansted f'14:08 għal 10 . 10 liri . Tixtieq tibbukkja din l għażla ?
Yes , please . Can you tell me the price ? ||| Iva jekk jogħġbok . Tista' tgħidli l prezz ?
I did it's 10 . 10GBP . ||| Għamilt huwa 10 . 10GBP .
I am also looking for some where to go in the Centre of town , an attraction . ||| Qed infittex ukoll xi fejn immur fiċ Ċentru tal belt , attrazzjoni .
How about the Cambridge Contemporary Art Museum ? It's on 6 Trinity Street and the admission is free . ||| Kif dwar il Cambridge Contemporary Art Museum ? Qiegħed f 6 Trinity Street u d dħul huwa b xejn .
That sounds perfect ! Thank you so much ! ||| Dak ħsejjes perfett ! Grazzi ħafna !
Is there anything else you need today ? ||| Hemm xi ħaġa oħra li għandek bżonn illum ?
Yes , actually , can I have their phone number please ? ||| Iva , fil fatt , nista' jkolli n numru tat telefon tagħhom jekk jogħġbok ?
yes it is 01223324222 ||| iva huwa 01223324222
Great , thank you . Have a good day . Goodbye . ||| Kbir , grazzi . Il ġurnata t tajba . Adieu .
You have a good day as well ! Glad to help . ||| Għandek ġurnata tajba wkoll ! Ferħan li ngħin .
Can you find me a museum to visit ? ||| Tista ssibni mużew biex inżur ?
Found several museum , do you want museum with free entrance ? ||| Sabu diversi mużewijiet , tridu mużew b'dħul b'xejn ?
I really need one in the east . ||| I verament bżonn wieħed fil lvant .
There are four . How about Cambridge Artworks ? It's located at 5 greens Road and has free entrance . ||| Hemm erbgħa . Kif dwar Cambridge Artworks ? Hija tinsab fi Triq il ħodor 5 u għandha dħul b'xejn .
What is the phone number ? ||| X'inhu n numru tat telefon ?
Sure ! The phone number is 01223902168 . Do you need a taxi or directions to the museum ? ||| Żgur ! In numru tat telefon huwa 01223902168 . Għandek bżonn taxi jew direzzjonijiet għall mużew ?
Do you have a train that arrive's at 11:00 on Saturday that departs from bishops stortford ? ||| Għandek ferrovija li tasal fil 11:00 is Sibt li titlaq minn bishops stortford ?
I have one arriving at 10:07 , would that be okay ? ||| Għandi wieħed jasal fl 10:07 , ikun tajjeb ?
That'd be fine . I want it to arrive at cambridge on time . Can you book it for 3 people ? ||| Dak ikun tajjeb . Irrid li jasal Cambridge fil ħin . Tista' tibbukkjah għal 3 persuni ?
Sure thing your reference number is SIN65PG9 ||| Żgur li n numru ta 'referenza tiegħek huwa SIN65PG9
Thank you , that's all I needed ! ||| Grazzi , dak kollu li kelli bżonn !
Enjoy your visit . Please give me a call if you need any more help during your visit . ||| Igawdu ż żjara tiegħek . Jekk jogħġbok ċempelni jekk għandek bżonn aktar għajnuna waqt iż żjara tiegħek .
Can you tell me about the Museum of Archaelogy and Anthropology ? ||| Tista tgħidli dwar il Mużew tal Arkeoloġija u l Antropoloġija ?
Yes , it is located at the university of cambridge , downing street and has free entry . ||| Iva , tinsab fl università ta 'Cambridge , downing street u għandha dħul b'xejn .
Excellent ! What is the phone number and address ? ||| Eċċellenti ! X'inhu n numru tat telefon u l indirizz ?
It is located at the University Of Cambridge on Downing Street , postcode cb23dz . You can reach them at 01223333516 . Can I help with anything else today ? ||| Hija tinsab fl Università ta 'Cambridge fuq Downing Street , kodiċi postali cb23dz . Tista' tilħaqhom fuq 01223333516 . Nista' ngħin f'xi ħaġa oħra llum ?
I would like to book a train to cambridge . ||| Nixtieq nibbukkja ferrovija lejn Cambridge .
I would be more than happy to help you with that . What time are you leaving ? ||| Inkun aktar minn kuntent li ngħinek b'dan . X'ħin qed titlaq ?
I want to arrive by 12:00 , I'm leaving Friday . Going from stevenage to cambridge . ||| Irrid nasal sa 12:00 , se nitlaq il Ġimgħa . Tmur minn Stevenage għal Cambridge .
There are trains that leave at 5:54 , 7:54 , and 9:54 . Would you like me to book any of these for you ? ||| Hemm ferroviji li jitilqu fil 5:54 , 7:54 , u 9:54 . Tixtieq li nibbukkja xi waħda minn dawn għalik ?
